Rate date,Base Currency,Conversion Currency,Exchange Rate
2026-01-05,GBP,CNY,9.4399
2026-01-05,GBP,CZK,27.9053
2026-01-05,GBP,DKK,8.6187
2026-01-05,GBP,EUR,1.1537
2026-01-05,GBP,HKD,10.5118
2026-01-05,GBP,HUF,442.6621
2026-01-05,GBP,ILS,4.2582
2026-01-05,GBP,INR,121.8045
2026-01-05,GBP,JPY,211.4232
2026-01-05,GBP,KRW,1952.7498
2026-01-05,GBP,MYR,5.4991
2026-01-05,GBP,NOK,13.5669
2026-01-05,GBP,NZD,2.3358
2026-01-05,GBP,PLN,4.8563
2026-01-05,GBP,RON,5.872
2026-01-05,GBP,SAR,5.0643
2026-01-05,GBP,SEK,12.4279
2026-01-05,GBP,SGD,1.7351
2026-01-05,GBP,THB,42.2846
2026-01-05,GBP,TRY,58.101
2026-01-05,GBP,TWD,42.5074
2026-01-05,GBP,USD,1.3503
2026-01-05,GBP,ZAR,22.1546
2026-01-05,USD,AUD,1.4908
2026-01-05,USD,BRL,5.4138
2026-01-05,USD,CHF,0.7937
2026-01-05,USD,CNY,6.991
2026-01-05,USD,CZK,20.666
2026-01-05,USD,DKK,6.3828
2026-01-05,USD,EUR,0.8544
2026-01-05,USD,GBP,0.7406
2026-01-05,USD,HKD,7.7848
2026-01-05,USD,HUF,327.825
2026-01-05,USD,ILS,3.1536
2026-01-05,USD,INR,90.2055
2026-01-05,USD,JPY,156.575
2026-01-05,USD,KRW,1446.16
2026-01-05,USD,MYR,4.0725
2026-01-05,USD,NOK,10.0474
2026-01-05,USD,NZD,1.7298
2026-01-05,USD,PLN,3.5965
2026-01-05,USD,SAR,3.7505
2026-01-05,USD,SEK,9.2038
2026-01-05,USD,SGD,1.285
2026-01-05,USD,THB,31.315
2026-01-05,USD,TRY,43.0282
2026-01-05,USD,TWD,31.48
2026-01-05,USD,ZAR,16.4072
2026-01-06,EUR,GBP,0.8659
2026-01-06,GBP,AUD,2.007
2026-01-06,GBP,CAD,1.8621
2026-01-06,GBP,CHF,1.0736
2026-01-06,GBP,CNY,9.4295
2026-01-06,GBP,CZK,27.9156
2026-01-06,GBP,DKK,8.6289
2026-01-06,GBP,EUR,1.1549
2026-01-06,GBP,HKD,10.5181
2026-01-06,GBP,HUF,444.3735
2026-01-06,GBP,ILS,4.2803
2026-01-06,GBP,INR,121.6906
2026-01-06,GBP,JPY,211.4859
2026-01-06,GBP,KRW,1955.5029
2026-01-06,GBP,MYR,5.4663
2026-01-06,GBP,NOK,13.5738
2026-01-06,GBP,NZD,2.3379
2026-01-06,GBP,PLN,4.8653
2026-01-06,GBP,RON,5.8772
2026-01-06,GBP,SAR,5.0658
2026-01-06,GBP,SEK,12.4431
2026-01-06,GBP,SGD,1.7288
2026-01-06,GBP,THB,42.1959
2026-01-06,GBP,TRY,58.1326
2026-01-06,GBP,TWD,42.5106
2026-01-06,GBP,USD,1.3507
2026-01-06,GBP,ZAR,22.1057
2026-01-06,USD,AUD,1.4859
2026-01-06,USD,BRL,5.371
2026-01-06,USD,CHF,0.7949
2026-01-06,USD,CNY,6.9812
2026-01-06,USD,CZK,20.6675
2026-01-06,USD,DKK,6.3885
2026-01-06,USD,EUR,0.855
2026-01-06,USD,GBP,0.7404
2026-01-06,USD,HKD,7.7872
2026-01-06,USD,HUF,328.995
2026-01-06,USD,ILS,3.169
2026-01-06,USD,INR,90.0945
2026-01-06,USD,JPY,156.575
2026-01-06,USD,KRW,1447.77
2026-01-06,USD,MYR,4.047
2026-01-06,USD,NOK,10.0495
2026-01-06,USD,NZD,1.7309
2026-01-06,USD,PLN,3.6021
2026-01-06,USD,SAR,3.7505
2026-01-06,USD,SEK,9.2123
2026-01-06,USD,SGD,1.28
2026-01-06,USD,THB,31.24
2026-01-06,USD,TRY,43.0389
2026-01-06,USD,TWD,31.473
2026-01-06,USD,ZAR,16.3661
2026-01-07,EUR,GBP,0.8672
2026-01-07,GBP,AUD,2.0036
2026-01-07,GBP,CAD,1.862
2026-01-07,GBP,CHF,1.0737
2026-01-07,GBP,CNY,9.4213
2026-01-07,GBP,CZK,28.0003
2026-01-07,GBP,DKK,8.6182
2026-01-07,GBP,EUR,1.1532
2026-01-07,GBP,HKD,10.4964
2026-01-07,GBP,HUF,443.9398
2026-01-07,GBP,ILS,4.2726
2026-01-07,GBP,INR,121.1041
2026-01-07,GBP,JPY,211.2192
2026-01-07,GBP,KRW,1952.8122
2026-01-07,GBP,MYR,5.4704
2026-01-07,GBP,NOK,13.5847
2026-01-07,GBP,NZD,2.3319
2026-01-07,GBP,PLN,4.8582
2026-01-07,GBP,RON,5.8662
2026-01-07,GBP,SAR,5.0553
2026-01-07,GBP,SEK,12.3758
2026-01-07,GBP,SGD,1.728
2026-01-07,GBP,THB,42.3018
2026-01-07,GBP,TRY,58.0194
2026-01-07,GBP,TWD,42.4076
2026-01-07,GBP,USD,1.3481
2026-01-07,GBP,ZAR,22.1893
2026-01-07,USD,AUD,1.4863
2026-01-07,USD,BRL,5.3941
2026-01-07,USD,CHF,0.7965
2026-01-07,USD,CNY,6.9888
2026-01-07,USD,CZK,20.771
2026-01-07,USD,DKK,6.3931
2026-01-07,USD,EUR,0.8554
2026-01-07,USD,GBP,0.7418
2026-01-07,USD,HKD,7.7864
2026-01-07,USD,HUF,329.32
2026-01-07,USD,ILS,3.1695
2026-01-07,USD,INR,89.8365
2026-01-07,USD,JPY,156.685
2026-01-07,USD,KRW,1448.62
2026-01-07,USD,MYR,4.058
2026-01-07,USD,NOK,10.0773
2026-01-07,USD,NZD,1.7298
2026-01-07,USD,PLN,3.6039
2026-01-07,USD,SAR,3.7501
2026-01-07,USD,SEK,9.1806
2026-01-07,USD,SGD,1.2819
2026-01-07,USD,THB,31.38
2026-01-07,USD,TRY,43.0395
2026-01-07,USD,TWD,31.4585
2026-01-07,USD,ZAR,16.4603
2026-01-08,EUR,GBP,0.8679
2026-01-08,GBP,AUD,2.0068
2026-01-08,GBP,CAD,1.8629
2026-01-08,GBP,CHF,1.0735
2026-01-08,GBP,CNY,9.3861
2026-01-08,GBP,CZK,27.9671
2026-01-08,GBP,DKK,8.6091
2026-01-08,GBP,EUR,1.1521
2026-01-08,GBP,HKD,10.4729
2026-01-08,GBP,HUF,443.7039
2026-01-08,GBP,ILS,4.2601
2026-01-08,GBP,INR,120.8801
2026-01-08,GBP,JPY,210.8568
2026-01-08,GBP,KRW,1952.7811
2026-01-08,GBP,MYR,5.4606
2026-01-08,GBP,NOK,13.5707
2026-01-08,GBP,NZD,2.3358
2026-01-08,GBP,PLN,4.8543
2026-01-08,GBP,RON,5.8623
2026-01-08,GBP,SAR,5.0406
2026-01-08,GBP,SEK,12.3901
2026-01-08,GBP,SGD,1.7273
2026-01-08,GBP,THB,42.334
2026-01-08,GBP,TRY,57.8534
2026-01-08,GBP,TWD,42.4039
2026-01-08,GBP,USD,1.3442
2026-01-08,GBP,ZAR,22.1985
2026-01-08,USD,AUD,1.493
2026-01-08,USD,BRL,5.389
2026-01-08,USD,CHF,0.7987
2026-01-08,USD,CNY,6.983
2026-01-08,USD,CZK,20.8065
2026-01-08,USD,DKK,6.4049
2026-01-08,USD,EUR,0.8572
2026-01-08,USD,GBP,0.744
2026-01-08,USD,HKD,7.7915
2026-01-08,USD,HUF,330.1
2026-01-08,USD,ILS,3.1694
2026-01-08,USD,INR,89.9305
2026-01-08,USD,JPY,156.87
2026-01-08,USD,KRW,1452.8
2026-01-08,USD,MYR,4.0625
2026-01-08,USD,NOK,10.0962
2026-01-08,USD,NZD,1.7378
2026-01-08,USD,PLN,3.6115
2026-01-08,USD,SAR,3.75
2026-01-08,USD,SEK,9.2178
2026-01-08,USD,SGD,1.2851
2026-01-08,USD,THB,31.495
2026-01-08,USD,TRY,43.0409
2026-01-08,USD,TWD,31.547
2026-01-08,USD,ZAR,16.5149
2026-01-09,EUR,GBP,0.8675
2026-01-09,GBP,AUD,2.0086
2026-01-09,GBP,CAD,1.8639
2026-01-09,GBP,CHF,1.0749
2026-01-09,GBP,CNY,9.3581
2026-01-09,GBP,CZK,27.9856
2026-01-09,GBP,DKK,8.6137
2026-01-09,GBP,EUR,1.1527
2026-01-09,GBP,HKD,10.46
2026-01-09,GBP,HUF,444.783
2026-01-09,GBP,ILS,4.2239
2026-01-09,GBP,INR,121.1657
2026-01-09,GBP,JPY,211.8446
2026-01-09,GBP,KRW,1959.148
2026-01-09,GBP,MYR,5.466
2026-01-09,GBP,NOK,13.5487
2026-01-09,GBP,NZD,2.3414
2026-01-09,GBP,PLN,4.856
2026-01-09,GBP,RON,5.8664
2026-01-09,GBP,SAR,5.0321
2026-01-09,GBP,SEK,12.3592
2026-01-09,GBP,SGD,1.7269
2026-01-09,GBP,THB,42.0871
2026-01-09,GBP,TRY,57.8887
2026-01-09,GBP,TWD,42.4025
2026-01-09,GBP,USD,1.3419
2026-01-09,GBP,ZAR,22.0945
2026-01-09,USD,AUD,1.4969
2026-01-09,USD,BRL,5.3546
2026-01-09,USD,CHF,0.8011
2026-01-09,USD,CNY,6.9741
2026-01-09,USD,CZK,20.856
2026-01-09,USD,DKK,6.4193
2026-01-09,USD,EUR,0.8591
2026-01-09,USD,GBP,0.7452
2026-01-09,USD,HKD,7.7952
2026-01-09,USD,HUF,331.47
2026-01-09,USD,ILS,3.1479
2026-01-09,USD,INR,90.2975
2026-01-09,USD,JPY,157.875
2026-01-09,USD,KRW,1460.035
2026-01-09,USD,MYR,4.0735
2026-01-09,USD,NOK,10.0971
2026-01-09,USD,NZD,1.7449
2026-01-09,USD,PLN,3.6189
2026-01-09,USD,SAR,3.7501
2026-01-09,USD,SEK,9.2106
2026-01-09,USD,SGD,1.287
2026-01-09,USD,THB,31.365
2026-01-09,USD,TRY,43.141
2026-01-09,USD,TWD,31.6
2026-01-09,USD,ZAR,16.4657
2026-01-12,EUR,GBP,0.8669
2026-01-12,GBP,AUD,2.0052
2026-01-12,GBP,CAD,1.8695
2026-01-12,GBP,CHF,1.0729
2026-01-12,GBP,CNY,9.3834
2026-01-12,GBP,CZK,28.0172
2026-01-12,GBP,DKK,8.6194
2026-01-12,GBP,EUR,1.1535
2026-01-12,GBP,HKD,10.5059
2026-01-12,GBP,HUF,446.6221
2026-01-12,GBP,ILS,4.2292
2026-01-12,GBP,INR,121.4576
2026-01-12,GBP,JPY,212.8646
2026-01-12,GBP,KRW,1977.2002
2026-01-12,GBP,MYR,5.4742
2026-01-12,GBP,NOK,13.5431
2026-01-12,GBP,NZD,2.3376
2026-01-12,GBP,PLN,4.8569
2026-01-12,GBP,RON,5.8708
2026-01-12,GBP,SAR,5.0533
2026-01-12,GBP,SEK,12.3486
2026-01-12,GBP,SGD,1.7313
2026-01-12,GBP,THB,42.042
2026-01-12,GBP,TRY,58.108
2026-01-12,GBP,TWD,42.6026
2026-01-12,GBP,USD,1.3475
2026-01-12,GBP,ZAR,22.0636
2026-01-12,USD,AUD,1.4881
2026-01-12,USD,BRL,5.3704
2026-01-12,USD,CHF,0.7963
2026-01-12,USD,CNY,6.9636
2026-01-12,USD,CZK,20.792
2026-01-12,USD,DKK,6.3966
2026-01-12,USD,EUR,0.8561
2026-01-12,USD,GBP,0.7421
2026-01-12,USD,HKD,7.7966
2026-01-12,USD,HUF,331.445
2026-01-12,USD,ILS,3.1386
2026-01-12,USD,INR,90.1355
2026-01-12,USD,JPY,157.97
2026-01-12,USD,KRW,1467.31
2026-01-12,USD,MYR,4.0625
2026-01-12,USD,NOK,10.0506
2026-01-12,USD,NZD,1.7348
2026-01-12,USD,PLN,3.6044
2026-01-12,USD,SAR,3.7501
2026-01-12,USD,SEK,9.1641
2026-01-12,USD,SGD,1.2849
2026-01-12,USD,THB,31.2
2026-01-12,USD,TRY,43.1229
2026-01-12,USD,TWD,31.616
2026-01-12,USD,ZAR,16.3737
2026-01-13,EUR,GBP,0.8668
2026-01-13,GBP,AUD,2.0102
2026-01-13,GBP,CAD,1.8657
2026-01-13,GBP,CHF,1.0752
2026-01-13,GBP,CNY,9.3715
2026-01-13,GBP,CZK,27.9385
2026-01-13,GBP,DKK,8.6204
2026-01-13,GBP,EUR,1.1536
2026-01-13,GBP,HKD,10.4854
2026-01-13,GBP,HUF,445.6292
2026-01-13,GBP,ILS,4.2278
2026-01-13,GBP,INR,121.4061
2026-01-13,GBP,JPY,213.627
2026-01-13,GBP,KRW,1984.9129
2026-01-13,GBP,MYR,5.4541
2026-01-13,GBP,NOK,13.5444
2026-01-13,GBP,NZD,2.3381
2026-01-13,GBP,PLN,4.8567
2026-01-13,GBP,RON,5.8742
2026-01-13,GBP,SAR,5.041
2026-01-13,GBP,SEK,12.3613
2026-01-13,GBP,SGD,1.7321
2026-01-13,GBP,THB,42.3154
2026-01-13,GBP,TRY,58.013
2026-01-13,GBP,TWD,42.47
2026-01-13,GBP,USD,1.3442
2026-01-13,GBP,ZAR,22.0442
2026-01-13,USD,AUD,1.4954
2026-01-13,USD,BRL,5.3802
2026-01-13,USD,CHF,0.7999
2026-01-13,USD,CNY,6.9718
2026-01-13,USD,CZK,20.7845
2026-01-13,USD,DKK,6.4131
2026-01-13,USD,EUR,0.8582
2026-01-13,USD,GBP,0.7439
2026-01-13,USD,HKD,7.8005
2026-01-13,USD,HUF,331.52
2026-01-13,USD,ILS,3.1452
2026-01-13,USD,INR,90.3185
2026-01-13,USD,JPY,158.925
2026-01-13,USD,KRW,1476.65
2026-01-13,USD,MYR,4.0575
2026-01-13,USD,NOK,10.0762
2026-01-13,USD,NZD,1.7394
2026-01-13,USD,PLN,3.6131
2026-01-13,USD,SAR,3.7502
2026-01-13,USD,SEK,9.196
2026-01-13,USD,SGD,1.2886
2026-01-13,USD,THB,31.48
2026-01-13,USD,TRY,43.158
2026-01-13,USD,TWD,31.595
2026-01-13,USD,ZAR,16.3995
2026-01-14,EUR,GBP,0.8665
2026-01-14,GBP,AUD,2.0135
2026-01-14,GBP,CAD,1.8678
2026-01-14,GBP,CHF,1.0748
2026-01-14,GBP,CNY,9.3781
2026-01-14,GBP,CZK,27.9653
2026-01-14,GBP,DKK,8.624
2026-01-14,GBP,EUR,1.1541
2026-01-14,GBP,HKD,10.4926
2026-01-14,GBP,HUF,446.0695
2026-01-14,GBP,ILS,4.2456
2026-01-14,GBP,INR,121.4765
2026-01-14,GBP,JPY,212.7809
2026-01-14,GBP,KRW,1972.8911
2026-01-14,GBP,MYR,5.4472
2026-01-14,GBP,NOK,13.5169
2026-01-14,GBP,NZD,2.3388
2026-01-14,GBP,PLN,4.8595
2026-01-14,GBP,RON,5.8731
2026-01-14,GBP,SAR,5.0466
2026-01-14,GBP,SEK,12.3492
2026-01-14,GBP,SGD,1.7316
2026-01-14,GBP,THB,42.3476
2026-01-14,GBP,TRY,58.1115
2026-01-14,GBP,TWD,42.4714
2026-01-14,GBP,USD,1.3457
2026-01-14,GBP,ZAR,22.0686
2026-01-14,USD,AUD,1.4963
2026-01-14,USD,BRL,5.3934
2026-01-14,USD,CHF,0.7988
2026-01-14,USD,CNY,6.9692
2026-01-14,USD,CZK,20.782
2026-01-14,USD,DKK,6.4088
2026-01-14,USD,EUR,0.8576
2026-01-14,USD,GBP,0.7431
2026-01-14,USD,HKD,7.7974
2026-01-14,USD,HUF,331.49
2026-01-14,USD,ILS,3.1551
2026-01-14,USD,INR,90.2735
2026-01-14,USD,JPY,158.125
2026-01-14,USD,KRW,1466.125
2026-01-14,USD,MYR,4.048
2026-01-14,USD,NOK,10.0449
2026-01-14,USD,NZD,1.7381
2026-01-14,USD,PLN,3.6113
2026-01-14,USD,SAR,3.7503
2026-01-14,USD,SEK,9.1771
2026-01-14,USD,SGD,1.2869
2026-01-14,USD,THB,31.47
2026-01-14,USD,TRY,43.1847
2026-01-14,USD,TWD,31.562
2026-01-14,USD,ZAR,16.4
2026-01-15,EUR,GBP,0.8667
2026-01-15,GBP,AUD,1.998
2026-01-15,GBP,CAD,1.8596
2026-01-15,GBP,CHF,1.0755
2026-01-15,GBP,CNY,9.3201
2026-01-15,GBP,CZK,28.0153
2026-01-15,GBP,DKK,8.621
2026-01-15,GBP,EUR,1.1538
2026-01-15,GBP,HKD,10.4381
2026-01-15,GBP,HUF,444.8535
2026-01-15,GBP,ILS,4.2073
2026-01-15,GBP,INR,120.9464
2026-01-15,GBP,JPY,212.2296
2026-01-15,GBP,KRW,1966.7981
2026-01-15,GBP,MYR,5.4276
2026-01-15,GBP,NOK,13.5366
2026-01-15,GBP,NZD,2.3313
2026-01-15,GBP,PLN,4.8602
2026-01-15,GBP,RON,5.8731
2026-01-15,GBP,SAR,5.0201
2026-01-15,GBP,SEK,12.3561
2026-01-15,GBP,SGD,1.7248
2026-01-15,GBP,THB,42.0604
2026-01-15,GBP,TRY,57.8223
2026-01-15,GBP,TWD,42.2625
2026-01-15,GBP,USD,1.3387
2026-01-15,GBP,ZAR,21.8853
2026-01-15,USD,AUD,1.4925
2026-01-15,USD,BRL,5.3696
2026-01-15,USD,CHF,0.8035
2026-01-15,USD,CNY,6.9624
2026-01-15,USD,CZK,20.928
2026-01-15,USD,DKK,6.4401
2026-01-15,USD,EUR,0.8619
2026-01-15,USD,GBP,0.747
2026-01-15,USD,HKD,7.7975
2026-01-15,USD,HUF,332.315
2026-01-15,USD,ILS,3.143
2026-01-15,USD,INR,90.3495
2026-01-15,USD,JPY,158.54
2026-01-15,USD,KRW,1469.24
2026-01-15,USD,MYR,4.0545
2026-01-15,USD,NOK,10.1122
2026-01-15,USD,NZD,1.7416
2026-01-15,USD,PLN,3.6307
2026-01-15,USD,SAR,3.7501
2026-01-15,USD,SEK,9.2303
2026-01-15,USD,SGD,1.2885
2026-01-15,USD,THB,31.42
2026-01-15,USD,TRY,43.1945
2026-01-15,USD,TWD,31.571
2026-01-15,USD,ZAR,16.3488
2026-01-16,EUR,GBP,0.8666
2026-01-16,GBP,AUD,2.0028
2026-01-16,GBP,CAD,1.8615
2026-01-16,GBP,CHF,1.0742
2026-01-16,GBP,CNY,9.321
2026-01-16,GBP,CZK,28.0115
2026-01-16,GBP,DKK,8.6219
2026-01-16,GBP,EUR,1.1539
2026-01-16,GBP,HKD,10.434
2026-01-16,GBP,HUF,444.5376
2026-01-16,GBP,ILS,4.2074
2026-01-16,GBP,INR,121.4462
2026-01-16,GBP,JPY,211.4594
2026-01-16,GBP,KRW,1972.9272
2026-01-16,GBP,MYR,5.4248
2026-01-16,GBP,NOK,13.5169
2026-01-16,GBP,NZD,2.3282
2026-01-16,GBP,PLN,4.8725
2026-01-16,GBP,RON,5.8719
2026-01-16,GBP,SAR,5.0168
2026-01-16,GBP,SEK,12.3569
2026-01-16,GBP,SGD,1.725
2026-01-16,GBP,THB,42.1608
2026-01-16,GBP,TRY,57.8997
2026-01-16,GBP,TWD,42.2731
2026-01-16,GBP,USD,1.3378
2026-01-16,GBP,ZAR,21.9771
2026-01-16,USD,AUD,1.4971
2026-01-16,USD,BRL,5.3824
2026-01-16,USD,CHF,0.803
2026-01-16,USD,CNY,6.9674
2026-01-16,USD,CZK,20.9385
2026-01-16,USD,DKK,6.4448
2026-01-16,USD,EUR,0.8626
2026-01-16,USD,GBP,0.7475
2026-01-16,USD,HKD,7.7994
2026-01-16,USD,HUF,332.29
2026-01-16,USD,ILS,3.1451
2026-01-16,USD,INR,90.7805
2026-01-16,USD,JPY,158.065
2026-01-16,USD,KRW,1474.755
2026-01-16,USD,MYR,4.055
2026-01-16,USD,NOK,10.1039
2026-01-16,USD,NZD,1.7403
2026-01-16,USD,PLN,3.6422
2026-01-16,USD,SAR,3.75
2026-01-16,USD,SEK,9.2368
2026-01-16,USD,SGD,1.2895
2026-01-16,USD,THB,31.515
2026-01-16,USD,TRY,43.2798
2026-01-16,USD,TWD,31.599
2026-01-16,USD,ZAR,16.4278
2026-01-19,EUR,GBP,0.8672
2026-01-19,GBP,AUD,1.9999
2026-01-19,GBP,CAD,1.861
2026-01-19,GBP,CHF,1.0698
2026-01-19,GBP,CNY,9.3372
2026-01-19,GBP,CZK,28.0171
2026-01-19,GBP,DKK,8.6152
2026-01-19,GBP,EUR,1.1531
2026-01-19,GBP,HKD,10.4649
2026-01-19,GBP,HUF,444.5836
2026-01-19,GBP,ILS,4.2348
2026-01-19,GBP,INR,121.9785
2026-01-19,GBP,JPY,212.1548
2026-01-19,GBP,KRW,1977.215
2026-01-19,GBP,MYR,5.4426
2026-01-19,GBP,NOK,13.5065
2026-01-19,GBP,NZD,2.3179
2026-01-19,GBP,PLN,4.8711
2026-01-19,GBP,RON,5.8725
2026-01-19,GBP,SAR,5.0333
2026-01-19,GBP,SEK,12.365
2026-01-19,GBP,SGD,1.7245
2026-01-19,GBP,THB,41.937
2026-01-19,GBP,TRY,58.07
2026-01-19,GBP,TWD,42.3545
2026-01-19,GBP,USD,1.3422
2026-01-19,GBP,ZAR,21.9837
2026-01-19,USD,AUD,1.49
2026-01-19,USD,BRL,5.3587
2026-01-19,USD,CHF,0.7971
2026-01-19,USD,CNY,6.9567
2026-01-19,USD,CZK,20.874
2026-01-19,USD,DKK,6.4187
2026-01-19,USD,EUR,0.8591
2026-01-19,USD,GBP,0.745
2026-01-19,USD,HKD,7.7969
2026-01-19,USD,HUF,331.235
2026-01-19,USD,ILS,3.1552
2026-01-19,USD,INR,90.8795
2026-01-19,USD,JPY,158.065
2026-01-19,USD,KRW,1473.115
2026-01-19,USD,MYR,4.055
2026-01-19,USD,NOK,10.063
2026-01-19,USD,NZD,1.727
2026-01-19,USD,PLN,3.6292
2026-01-19,USD,SAR,3.75
2026-01-19,USD,SEK,9.2125
2026-01-19,USD,SGD,1.2849
2026-01-19,USD,THB,31.245
2026-01-19,USD,TRY,43.2648
2026-01-19,USD,TWD,31.556
2026-01-19,USD,ZAR,16.3789
2026-01-20,EUR,GBP,0.8715
2026-01-20,GBP,AUD,1.996
2026-01-20,GBP,CAD,1.8611
2026-01-20,GBP,CHF,1.0634
2026-01-20,GBP,CNY,9.3593
2026-01-20,GBP,CZK,27.897
2026-01-20,GBP,DKK,8.5726
2026-01-20,GBP,EUR,1.1475
2026-01-20,GBP,HKD,10.4942
2026-01-20,GBP,HUF,441.9211
2026-01-20,GBP,ILS,4.2568
2026-01-20,GBP,INR,122.489
2026-01-20,GBP,JPY,212.5197
2026-01-20,GBP,KRW,1987.0202
2026-01-20,GBP,MYR,5.4561
2026-01-20,GBP,NOK,13.4342
2026-01-20,GBP,NZD,2.3013
2026-01-20,GBP,PLN,4.8499
2026-01-20,GBP,RON,5.8441
2026-01-20,GBP,SAR,5.0464
2026-01-20,GBP,SEK,12.2914
2026-01-20,GBP,SGD,1.727
2026-01-20,GBP,THB,41.7907
2026-01-20,GBP,TRY,58.2467
2026-01-20,GBP,TWD,42.5739
2026-01-20,GBP,USD,1.3457
2026-01-20,GBP,ZAR,22.0597
2026-01-20,USD,AUD,1.4832
2026-01-20,USD,BRL,5.3657
2026-01-20,USD,CHF,0.7902
2026-01-20,USD,CNY,6.955
2026-01-20,USD,CZK,20.7305
2026-01-20,USD,DKK,6.3704
2026-01-20,USD,EUR,0.8527
2026-01-20,USD,GBP,0.7431
2026-01-20,USD,HKD,7.7984
2026-01-20,USD,HUF,328.395
2026-01-20,USD,ILS,3.1633
2026-01-20,USD,INR,91.0225
2026-01-20,USD,JPY,157.925
2026-01-20,USD,KRW,1476.57
2026-01-20,USD,MYR,4.0545
2026-01-20,USD,NOK,9.9831
2026-01-20,USD,NZD,1.7101
2026-01-20,USD,PLN,3.604
2026-01-20,USD,SAR,3.75
2026-01-20,USD,SEK,9.1339
2026-01-20,USD,SGD,1.2834
2026-01-20,USD,THB,31.055
2026-01-20,USD,TRY,43.2836
2026-01-20,USD,TWD,31.637
2026-01-20,USD,ZAR,16.3927
2026-01-21,EUR,GBP,0.8715
2026-01-21,GBP,AUD,1.9832
2026-01-21,GBP,CAD,1.8528
2026-01-21,GBP,CHF,1.0662
2026-01-21,GBP,CNY,9.3443
2026-01-21,GBP,CZK,27.9138
2026-01-21,GBP,DKK,8.572
2026-01-21,GBP,EUR,1.1475
2026-01-21,GBP,HKD,10.4702
2026-01-21,GBP,HUF,440.9994
2026-01-21,GBP,ILS,4.2322
2026-01-21,GBP,INR,122.9791
2026-01-21,GBP,JPY,212.4499
2026-01-21,GBP,KRW,1966.5514
2026-01-21,GBP,MYR,5.4341
2026-01-21,GBP,NOK,13.3759
2026-01-21,GBP,NZD,2.2955
2026-01-21,GBP,PLN,4.8382
2026-01-21,GBP,RON,5.8479
2026-01-21,GBP,SAR,5.0353
2026-01-21,GBP,SEK,12.2261
2026-01-21,GBP,SGD,1.7232
2026-01-21,GBP,THB,41.8267
2026-01-21,GBP,TRY,58.134
2026-01-21,GBP,TWD,42.4363
2026-01-21,GBP,USD,1.3428
2026-01-21,GBP,ZAR,21.8024
2026-01-21,USD,AUD,1.477
2026-01-21,USD,BRL,5.3247
2026-01-21,USD,CHF,0.7941
2026-01-21,USD,CNY,6.9591
2026-01-21,USD,CZK,20.7885
2026-01-21,USD,DKK,6.3839
2026-01-21,USD,EUR,0.8546
2026-01-21,USD,GBP,0.7447
2026-01-21,USD,HKD,7.7976
2026-01-21,USD,HUF,328.43
2026-01-21,USD,ILS,3.1519
2026-01-21,USD,INR,91.5875
2026-01-21,USD,JPY,158.22
2026-01-21,USD,KRW,1464.57
2026-01-21,USD,MYR,4.047
2026-01-21,USD,NOK,9.9616
2026-01-21,USD,NZD,1.7095
2026-01-21,USD,PLN,3.6032
2026-01-21,USD,SAR,3.75
2026-01-21,USD,SEK,9.1053
